locus_tag	ftype	length_bp	gene	EC_number	COG	product
DHBFGMFK_00001	gene	630				
DHBFGMFK_00001	CDS	630				hypothetical protein
DHBFGMFK_00002	gene	90				
DHBFGMFK_00002	CDS	90				hypothetical protein
DHBFGMFK_00003	gene	1833	LIAS			
DHBFGMFK_00003	CDS	1833	LIAS	2.8.1.8		Lipoyl synthase, organellar chromatophore
DHBFGMFK_00004	gene	1158	pntA_1			
DHBFGMFK_00004	CDS	1158	pntA_1	7.1.1.1	COG3288	NAD(P) transhydrogenase subunit alpha
DHBFGMFK_00005	gene	315	pntA_2			
DHBFGMFK_00005	CDS	315	pntA_2	7.1.1.1	COG3288	NAD(P) transhydrogenase subunit alpha
DHBFGMFK_00006	gene	1533	pntB			
DHBFGMFK_00006	CDS	1533	pntB	7.1.1.1	COG1282	NAD(P) transhydrogenase subunit beta
DHBFGMFK_00007	gene	1665	lcfB			
DHBFGMFK_00007	CDS	1665	lcfB	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
DHBFGMFK_00008	gene	1248	lolE_1			
DHBFGMFK_00008	CDS	1248	lolE_1		COG4591	Lipoprotein-releasing system transmembrane protein LolE
DHBFGMFK_00009	gene	2055	htpG			
DHBFGMFK_00009	CDS	2055	htpG			Chaperone protein HtpG
DHBFGMFK_00010	gene	1455	pepD_1			
DHBFGMFK_00010	CDS	1455	pepD_1	3.4.13.18	COG2195	Cytosol non-specific dipeptidase
DHBFGMFK_00011	gene	231				
DHBFGMFK_00011	CDS	231				hypothetical protein
DHBFGMFK_00012	gene	606				
DHBFGMFK_00012	CDS	606				hypothetical protein
DHBFGMFK_00013	gene	636	nth			
DHBFGMFK_00013	CDS	636	nth	4.2.99.18	COG0177	Endonuclease III
DHBFGMFK_00014	gene	711				
DHBFGMFK_00014	CDS	711				hypothetical protein
DHBFGMFK_00015	gene	648				
DHBFGMFK_00015	CDS	648				hypothetical protein
DHBFGMFK_00016	gene	2463	pheT			
DHBFGMFK_00016	CDS	2463	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
DHBFGMFK_00017	gene	726				
DHBFGMFK_00017	CDS	726			COG0217	putative transcriptional regulatory protein
DHBFGMFK_00018	gene	387				
DHBFGMFK_00018	CDS	387				hypothetical protein
DHBFGMFK_00019	gene	1782	lepA			
DHBFGMFK_00019	CDS	1782	lepA	3.6.5.-	COG0481	Elongation factor 4
DHBFGMFK_00020	gene	603				
DHBFGMFK_00020	CDS	603				hypothetical protein
DHBFGMFK_00021	gene	2181	bamA_1			
DHBFGMFK_00021	CDS	2181	bamA_1			Outer membrane protein assembly factor BamA
DHBFGMFK_00022	gene	465				
DHBFGMFK_00022	CDS	465				hypothetical protein
DHBFGMFK_00023	gene	807	yycJ			
DHBFGMFK_00023	CDS	807	yycJ	3.-.-.-	COG1235	Putative metallo-hydrolase YycJ
DHBFGMFK_00024	gene	2136				
DHBFGMFK_00024	CDS	2136				hypothetical protein
DHBFGMFK_00025	gene	2118				
DHBFGMFK_00025	CDS	2118				hypothetical protein
DHBFGMFK_00026	gene	264	rpmB			
DHBFGMFK_00026	CDS	264	rpmB		COG0227	50S ribosomal protein L28
DHBFGMFK_00027	gene	189	rpmG2			
DHBFGMFK_00027	CDS	189	rpmG2			50S ribosomal protein L33 2
DHBFGMFK_00028	gene	159				
DHBFGMFK_00028	CDS	159				hypothetical protein
DHBFGMFK_00029	gene	957	ftsY			
DHBFGMFK_00029	CDS	957	ftsY		COG0552	Signal recognition particle receptor FtsY
DHBFGMFK_00030	gene	1317	rimO			
DHBFGMFK_00030	CDS	1317	rimO	2.8.4.4	COG0621	Ribosomal protein S12 methylthiotransferase RimO
DHBFGMFK_00031	gene	294	hup_1			
DHBFGMFK_00031	CDS	294	hup_1		COG0776	DNA-binding protein HU
DHBFGMFK_00032	gene	1374	ihfA			
DHBFGMFK_00032	CDS	1374	ihfA			Integration host factor subunit alpha
DHBFGMFK_00033	gene	996				
DHBFGMFK_00033	CDS	996				hypothetical protein
DHBFGMFK_00034	gene	870				
DHBFGMFK_00034	CDS	870				hypothetical protein
DHBFGMFK_00035	gene	1107				
DHBFGMFK_00035	CDS	1107				hypothetical protein
DHBFGMFK_00036	gene	999				
DHBFGMFK_00036	CDS	999				hypothetical protein
DHBFGMFK_00037	gene	1029				
DHBFGMFK_00037	CDS	1029				hypothetical protein
DHBFGMFK_00038	gene	693				
DHBFGMFK_00038	CDS	693				hypothetical protein
DHBFGMFK_00039	gene	2562				
DHBFGMFK_00039	CDS	2562				hypothetical protein
DHBFGMFK_00040	gene	687				
DHBFGMFK_00040	CDS	687				hypothetical protein
DHBFGMFK_00041	gene	1236	queA_1			
DHBFGMFK_00041	CDS	1236	queA_1	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
DHBFGMFK_00042	gene	1941	nadE			
DHBFGMFK_00042	CDS	1941	nadE	6.3.5.1	COG0171	Glutamine-dependent NAD(+) synthetase
DHBFGMFK_00043	gene	891				
DHBFGMFK_00043	CDS	891				hypothetical protein
DHBFGMFK_00044	gene	2676	gyrA			
DHBFGMFK_00044	CDS	2676	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
DHBFGMFK_00045	gene	1170				
DHBFGMFK_00045	CDS	1170				hypothetical protein
DHBFGMFK_00046	gene	1209				
DHBFGMFK_00046	CDS	1209				hypothetical protein
