locus_tag	ftype	length_bp	gene	EC_number	COG	product
AJDFNNKG_00001	gene	1149	mrdA			
AJDFNNKG_00001	CDS	1149	mrdA	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
AJDFNNKG_00002	gene	1470	mrdB_1			
AJDFNNKG_00002	CDS	1470	mrdB_1	2.4.1.129		Peptidoglycan glycosyltransferase MrdB
AJDFNNKG_00003	gene	438				
AJDFNNKG_00003	CDS	438				hypothetical protein
AJDFNNKG_00004	gene	1248				
AJDFNNKG_00004	CDS	1248				hypothetical protein
AJDFNNKG_00005	gene	1140				
AJDFNNKG_00005	CDS	1140				hypothetical protein
AJDFNNKG_00006	gene	687	rsmI			
AJDFNNKG_00006	CDS	687	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
AJDFNNKG_00007	gene	846				
AJDFNNKG_00007	CDS	846				hypothetical protein
AJDFNNKG_00008	gene	453	tadA_1			
AJDFNNKG_00008	CDS	453	tadA_1	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
AJDFNNKG_00009	gene	741	birA			
AJDFNNKG_00009	CDS	741	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
AJDFNNKG_00010	gene	558				
AJDFNNKG_00010	CDS	558				hypothetical protein
AJDFNNKG_00011	gene	711	pyrH			
AJDFNNKG_00011	CDS	711	pyrH	2.7.4.22	COG0528	Uridylate kinase
AJDFNNKG_00012	gene	567				
AJDFNNKG_00012	CDS	567				hypothetical protein
AJDFNNKG_00013	gene	168	fdxA			
AJDFNNKG_00013	CDS	168	fdxA			4Fe-4S ferredoxin FdxA
AJDFNNKG_00014	gene	744				
AJDFNNKG_00014	CDS	744				hypothetical protein
AJDFNNKG_00015	gene	846	yfkN			
AJDFNNKG_00015	CDS	846	yfkN		COG0737	Trifunctional nucleotide phosphoesterase protein YfkN
AJDFNNKG_00016	gene	765				
AJDFNNKG_00016	CDS	765				hypothetical protein
AJDFNNKG_00017	gene	486				
AJDFNNKG_00017	CDS	486				hypothetical protein
AJDFNNKG_00018	gene	576				
AJDFNNKG_00018	CDS	576				hypothetical protein
AJDFNNKG_00019	gene	2388	btuB_1			
AJDFNNKG_00019	CDS	2388	btuB_1			Vitamin B12 transporter BtuB
AJDFNNKG_00020	gene	150				
AJDFNNKG_00020	CDS	150				hypothetical protein
AJDFNNKG_00021	gene	549				
AJDFNNKG_00021	CDS	549				hypothetical protein
AJDFNNKG_00022	gene	813				
AJDFNNKG_00022	CDS	813		1.10.3.-	COG1496	Polyphenol oxidase
AJDFNNKG_00023	gene	1152	obg			
AJDFNNKG_00023	CDS	1152	obg	3.6.5.-		GTPase Obg
AJDFNNKG_00024	gene	567	adk			
AJDFNNKG_00024	CDS	567	adk	2.7.4.3	COG0563	Adenylate kinase
AJDFNNKG_00025	gene	537	hpt			
AJDFNNKG_00025	CDS	537	hpt	2.4.2.8	COG0634	Hypoxanthine phosphoribosyltransferase
AJDFNNKG_00026	gene	1557	nnr			
AJDFNNKG_00026	CDS	1557	nnr		COG0062	Bifunctional NAD(P)H-hydrate repair enzyme Nnr
AJDFNNKG_00027	gene	735				
AJDFNNKG_00027	CDS	735				hypothetical protein
AJDFNNKG_00028	gene	267				
AJDFNNKG_00028	CDS	267				hypothetical protein
AJDFNNKG_00029	gene	1557				
AJDFNNKG_00029	CDS	1557				hypothetical protein
AJDFNNKG_00030	gene	1026				
AJDFNNKG_00030	CDS	1026				hypothetical protein
AJDFNNKG_00031	gene	600				
AJDFNNKG_00031	CDS	600				hypothetical protein
AJDFNNKG_00032	gene	597				
