locus_tag	ftype	length_bp	gene	EC_number	COG	product
MNKGAICE_00001	gene	1545				
MNKGAICE_00001	CDS	1545				hypothetical protein
MNKGAICE_00002	gene	1230				
MNKGAICE_00002	CDS	1230				hypothetical protein
MNKGAICE_00003	gene	1215				
MNKGAICE_00003	CDS	1215				hypothetical protein
MNKGAICE_00004	gene	654				
MNKGAICE_00004	CDS	654				hypothetical protein
MNKGAICE_00005	gene	981	ribD			
MNKGAICE_00005	CDS	981	ribD		COG0117	Riboflavin biosynthesis protein RibD
MNKGAICE_00006	gene	1311	eno			
MNKGAICE_00006	CDS	1311	eno	4.2.1.11	COG0148	Enolase
MNKGAICE_00007	gene	417	glpE			
MNKGAICE_00007	CDS	417	glpE	2.8.1.1		Thiosulfate sulfurtransferase GlpE
MNKGAICE_00008	gene	417				
MNKGAICE_00008	CDS	417				hypothetical protein
MNKGAICE_00009	gene	1125	dnaN			
MNKGAICE_00009	CDS	1125	dnaN			Beta sliding clamp
MNKGAICE_00010	gene	855	dinG			
MNKGAICE_00010	CDS	855	dinG	3.1.-.-		3'-5' exonuclease DinG
MNKGAICE_00011	gene	1197	lagD_1			
MNKGAICE_00011	CDS	1197	lagD_1	3.4.22.-		Lactococcin-G-processing and transport ATP-binding protein LagD
MNKGAICE_00012	gene	2454				
MNKGAICE_00012	CDS	2454				hypothetical protein
MNKGAICE_00013	gene	945	nagB			
MNKGAICE_00013	CDS	945	nagB	3.5.99.6	COG0363	Glucosamine-6-phosphate deaminase
MNKGAICE_00014	gene	1257	hflX			
MNKGAICE_00014	CDS	1257	hflX			GTPase HflX
MNKGAICE_00015	gene	975				
MNKGAICE_00015	CDS	975				hypothetical protein
MNKGAICE_00016	gene	1743				
MNKGAICE_00016	CDS	1743				hypothetical protein
MNKGAICE_00017	gene	2040	uvrB			
MNKGAICE_00017	CDS	2040	uvrB		COG0556	UvrABC system protein B
MNKGAICE_00018	gene	255				
MNKGAICE_00018	CDS	255				hypothetical protein
MNKGAICE_00019	gene	2307				
MNKGAICE_00019	CDS	2307				hypothetical protein
MNKGAICE_00020	gene	903	menA			
MNKGAICE_00020	CDS	903	menA	2.5.1.74	COG1575	1,4-dihydroxy-2-naphthoate octaprenyltransferase
MNKGAICE_00021	gene	600	yeeO			
MNKGAICE_00021	CDS	600	yeeO		COG0534	putative FMN/FAD exporter YeeO
MNKGAICE_00022	gene	822	cmk			
MNKGAICE_00022	CDS	822	cmk	2.7.4.25		Cytidylate kinase
MNKGAICE_00023	gene	405				
MNKGAICE_00023	CDS	405				hypothetical protein
MNKGAICE_00024	gene	1251	tdcG			
MNKGAICE_00024	CDS	1251	tdcG	4.3.1.17	COG1760	L-serine dehydratase TdcG
MNKGAICE_00025	gene	2640	rep_1			
MNKGAICE_00025	CDS	2640	rep_1	3.6.4.12		ATP-dependent DNA helicase Rep
MNKGAICE_00026	gene	1302				
MNKGAICE_00026	CDS	1302				hypothetical protein
MNKGAICE_00027	gene	282				
MNKGAICE_00027	CDS	282				hypothetical protein
MNKGAICE_00028	gene	555	rbr3A			
MNKGAICE_00028	CDS	555	rbr3A	1.11.1.1	COG1592	Reverse rubrerythrin-1
MNKGAICE_00029	gene	1176	nspC			
MNKGAICE_00029	CDS	1176	nspC	4.1.1.96		Carboxynorspermidine/carboxyspermidine decarboxylase
MNKGAICE_00030	gene	74				
MNKGAICE_00030	tRNA	74				tRNA-Gly(gcc)
MNKGAICE_00031	gene	84				
MNKGAICE_00031	tRNA	84				tRNA-Leu(cag)
