locus_tag	ftype	length_bp	gene	EC_number	COG	product
OPANPEBB_00001	gene	195				
OPANPEBB_00001	CDS	195				hypothetical protein
OPANPEBB_00002	gene	1779				
OPANPEBB_00002	CDS	1779				hypothetical protein
OPANPEBB_00003	gene	141				
OPANPEBB_00003	CDS	141				hypothetical protein
OPANPEBB_00004	gene	426				
OPANPEBB_00004	CDS	426				hypothetical protein
OPANPEBB_00005	gene	1227				
OPANPEBB_00005	CDS	1227		3.1.3.3	COG0560	Phosphoserine phosphatase
OPANPEBB_00006	gene	1377				
OPANPEBB_00006	CDS	1377				hypothetical protein
OPANPEBB_00007	gene	1866	deaD_1			
OPANPEBB_00007	CDS	1866	deaD_1	3.6.4.13		ATP-dependent RNA helicase DeaD
OPANPEBB_00008	gene	558				
OPANPEBB_00008	CDS	558		3.2.2.-	COG1611	Putative cytokinin riboside 5'-monophosphate phosphoribohydrolase
OPANPEBB_00009	gene	594				
OPANPEBB_00009	CDS	594				hypothetical protein
OPANPEBB_00010	gene	168				
OPANPEBB_00010	CDS	168				hypothetical protein
OPANPEBB_00011	gene	513				
OPANPEBB_00011	CDS	513				hypothetical protein
OPANPEBB_00012	gene	756	frdB			
OPANPEBB_00012	CDS	756	frdB	1.3.5.1	COG0479	Fumarate reductase iron-sulfur subunit
OPANPEBB_00013	gene	1983	frdA			
OPANPEBB_00013	CDS	1983	frdA	1.3.5.4		Fumarate reductase flavoprotein subunit
OPANPEBB_00014	gene	690				
OPANPEBB_00014	CDS	690				hypothetical protein
OPANPEBB_00015	gene	1953	mnmG			
OPANPEBB_00015	CDS	1953	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
OPANPEBB_00016	gene	531	apt			
OPANPEBB_00016	CDS	531	apt	2.4.2.7		Adenine phosphoribosyltransferase
OPANPEBB_00017	gene	1827	uvrC			
OPANPEBB_00017	CDS	1827	uvrC		COG0322	UvrABC system protein C
OPANPEBB_00018	gene	453	dtd			
OPANPEBB_00018	CDS	453	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
OPANPEBB_00019	gene	417				
OPANPEBB_00019	CDS	417				hypothetical protein
OPANPEBB_00020	gene	936				
OPANPEBB_00020	CDS	936				hypothetical protein
OPANPEBB_00021	gene	105				
OPANPEBB_00021	CDS	105				hypothetical protein
OPANPEBB_00022	gene	1131				
OPANPEBB_00022	CDS	1131				hypothetical protein
OPANPEBB_00023	gene	1914	pglF			
OPANPEBB_00023	CDS	1914	pglF	4.2.1.135	COG1086	UDP-N-acetyl-alpha-D-glucosamine C6 dehydratase
OPANPEBB_00024	gene	594				
OPANPEBB_00024	CDS	594				hypothetical protein
OPANPEBB_00025	gene	1197	arnB			
OPANPEBB_00025	CDS	1197	arnB	2.6.1.87		UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
OPANPEBB_00026	gene	798	tuaG			
OPANPEBB_00026	CDS	798	tuaG	2.4.-.-	COG0463	Putative teichuronic acid biosynthesis glycosyltransferase TuaG
OPANPEBB_00027	gene	1143				
OPANPEBB_00027	CDS	1143				hypothetical protein
OPANPEBB_00028	gene	1155				
OPANPEBB_00028	CDS	1155				hypothetical protein
OPANPEBB_00029	gene	909	trxB			
OPANPEBB_00029	CDS	909	trxB	1.8.1.9	COG0492	Thioredoxin reductase
OPANPEBB_00030	gene	549	bsaA			
OPANPEBB_00030	CDS	549	bsaA			Glutathione peroxidase BsaA
OPANPEBB_00031	gene	600				
OPANPEBB_00031	CDS	600				hypothetical protein
OPANPEBB_00032	gene	1242	ugd			
OPANPEBB_00032	CDS	1242	ugd	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
OPANPEBB_00033	gene	456				
OPANPEBB_00033	CDS	456				hypothetical protein
OPANPEBB_00034	gene	1563				
OPANPEBB_00034	CDS	1563				hypothetical protein
OPANPEBB_00035	gene	126				
OPANPEBB_00035	CDS	126				hypothetical protein
OPANPEBB_00036	gene	621				
OPANPEBB_00036	CDS	621				hypothetical protein
OPANPEBB_00037	gene	879				
OPANPEBB_00037	CDS	879				hypothetical protein
OPANPEBB_00038	gene	690	tsaB			
OPANPEBB_00038	CDS	690	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
OPANPEBB_00039	gene	612				
OPANPEBB_00039	CDS	612				hypothetical protein
OPANPEBB_00040	gene	1347	murA			
OPANPEBB_00040	CDS	1347	murA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
OPANPEBB_00041	gene	522	rimM			
OPANPEBB_00041	CDS	522	rimM			Ribosome maturation factor RimM
OPANPEBB_00042	gene	1155	dxr			
OPANPEBB_00042	CDS	1155	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
OPANPEBB_00043	gene	1410				
OPANPEBB_00043	CDS	1410		3.4.24.-	COG0750	Putative zinc metalloprotease
OPANPEBB_00044	gene	1896	sacC			
OPANPEBB_00044	CDS	1896	sacC	3.2.1.80	COG1621	Levanase
OPANPEBB_00045	gene	276				
OPANPEBB_00045	CDS	276				hypothetical protein
OPANPEBB_00046	gene	684				
OPANPEBB_00046	CDS	684				hypothetical protein
OPANPEBB_00047	gene	909	pfkB_1			
OPANPEBB_00047	CDS	909	pfkB_1	2.7.1.11	COG0524	ATP-dependent 6-phosphofructokinase
OPANPEBB_00048	gene	1812				
OPANPEBB_00048	CDS	1812				hypothetical protein
OPANPEBB_00049	gene	726				
OPANPEBB_00049	CDS	726				hypothetical protein
OPANPEBB_00050	gene	1506				
OPANPEBB_00050	CDS	1506		5.4.4.3	COG0174	3-hydroxylaminophenol mutase
OPANPEBB_00051	gene	1374	tpl			
OPANPEBB_00051	CDS	1374	tpl	4.1.99.2	COG3033	Tyrosine phenol-lyase
OPANPEBB_00052	gene	1674	aspT			
OPANPEBB_00052	CDS	1674	aspT			Aspartate/alanine antiporter
OPANPEBB_00053	gene	987	ykoT			
OPANPEBB_00053	CDS	987	ykoT	2.4.-.-		putative glycosyltransferase YkoT
OPANPEBB_00054	gene	1020	lpxL			
OPANPEBB_00054	CDS	1020	lpxL	2.3.1.241		Lipid A biosynthesis lauroyltransferase
OPANPEBB_00055	gene	807				
OPANPEBB_00055	CDS	807				hypothetical protein
OPANPEBB_00056	gene	1968				
OPANPEBB_00056	CDS	1968				hypothetical protein
