locus_tag	ftype	length_bp	gene	EC_number	COG	product
DKOIFHOP_00001	gene	762	ydfG			
DKOIFHOP_00001	CDS	762	ydfG	1.1.1.381	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG
DKOIFHOP_00002	gene	507				
DKOIFHOP_00002	CDS	507				hypothetical protein
DKOIFHOP_00003	gene	588	ttcA			
DKOIFHOP_00003	CDS	588	ttcA	2.8.1.-	COG0037	tRNA-cytidine(32) 2-sulfurtransferase
DKOIFHOP_00004	gene	657	ppaX			
DKOIFHOP_00004	CDS	657	ppaX	3.6.1.1	COG0546	Pyrophosphatase PpaX
DKOIFHOP_00005	gene	162				
DKOIFHOP_00005	CDS	162			COG1773	Rubredoxin
DKOIFHOP_00006	gene	474	guaD			
DKOIFHOP_00006	CDS	474	guaD	3.5.4.3	COG0590	Guanine deaminase
DKOIFHOP_00007	gene	1575	rne			
DKOIFHOP_00007	CDS	1575	rne	3.1.26.12	COG1530	Ribonuclease E
DKOIFHOP_00008	gene	90				
DKOIFHOP_00008	CDS	90				hypothetical protein
DKOIFHOP_00009	gene	300				
DKOIFHOP_00009	CDS	300			COG0776	DNA-binding protein HRL53
DKOIFHOP_00010	gene	444	rpiB			
DKOIFHOP_00010	CDS	444	rpiB	5.3.1.6	COG0698	Ribose-5-phosphate isomerase B
DKOIFHOP_00011	gene	1995	tkt			
DKOIFHOP_00011	CDS	1995	tkt	2.2.1.1		Transketolase
DKOIFHOP_00012	gene	900	rluD_1			
DKOIFHOP_00012	CDS	900	rluD_1	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
DKOIFHOP_00013	gene	162				
DKOIFHOP_00013	CDS	162				hypothetical protein
DKOIFHOP_00014	gene	1785				
DKOIFHOP_00014	CDS	1785				hypothetical protein
DKOIFHOP_00015	gene	1932				
DKOIFHOP_00015	CDS	1932				hypothetical protein
DKOIFHOP_00016	gene	3303				
DKOIFHOP_00016	CDS	3303				hypothetical protein
DKOIFHOP_00017	gene	144				
DKOIFHOP_00017	CDS	144				hypothetical protein
DKOIFHOP_00018	gene	2100				
DKOIFHOP_00018	CDS	2100				hypothetical protein
DKOIFHOP_00019	gene	642				
DKOIFHOP_00019	CDS	642				hypothetical protein
DKOIFHOP_00020	gene	633				
DKOIFHOP_00020	CDS	633				hypothetical protein
DKOIFHOP_00021	gene	903	menA			
DKOIFHOP_00021	CDS	903	menA	2.5.1.74	COG1575	1,4-dihydroxy-2-naphthoate octaprenyltransferase
DKOIFHOP_00022	gene	2280				
DKOIFHOP_00022	CDS	2280				hypothetical protein
DKOIFHOP_00023	gene	255				
