locus_tag	ftype	length_bp	gene	EC_number	COG	product
CDLFLBIA_00001	gene	639	ligA			
CDLFLBIA_00001	CDS	639	ligA	6.5.1.2		DNA ligase
CDLFLBIA_00002	gene	855	pta_1			
CDLFLBIA_00002	CDS	855	pta_1	2.3.1.8	COG0280	Phosphate acetyltransferase
CDLFLBIA_00003	gene	1062	buk2			
CDLFLBIA_00003	CDS	1062	buk2	2.7.2.7	COG3426	Butyrate kinase 2
CDLFLBIA_00004	gene	675	trmD			
CDLFLBIA_00004	CDS	675	trmD	2.1.1.228		tRNA (guanine-N(1)-)-methyltransferase
CDLFLBIA_00005	gene	939				
CDLFLBIA_00005	CDS	939				hypothetical protein
CDLFLBIA_00006	gene	1416	pepP			
CDLFLBIA_00006	CDS	1416	pepP	3.4.11.9	COG0006	Xaa-Pro aminopeptidase
CDLFLBIA_00007	gene	1197				
CDLFLBIA_00007	CDS	1197				hypothetical protein
CDLFLBIA_00008	gene	480				
CDLFLBIA_00008	CDS	480				hypothetical protein
CDLFLBIA_00009	gene	1731	recJ			
CDLFLBIA_00009	CDS	1731	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
CDLFLBIA_00010	gene	1911	deaD_1			
CDLFLBIA_00010	CDS	1911	deaD_1	3.6.4.13		ATP-dependent RNA helicase DeaD
CDLFLBIA_00011	gene	813				
CDLFLBIA_00011	CDS	813				hypothetical protein
CDLFLBIA_00012	gene	1182				
CDLFLBIA_00012	CDS	1182				Outer membrane protein 41
CDLFLBIA_00013	gene	531	cobP			
CDLFLBIA_00013	CDS	531	cobP	2.7.1.156		Bifunctional adenosylcobalamin biosynthesis protein CobP
CDLFLBIA_00014	gene	1032	cobT			
CDLFLBIA_00014	CDS	1032	cobT	2.4.2.21		Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
CDLFLBIA_00015	gene	792	cobS			
CDLFLBIA_00015	CDS	792	cobS	2.7.8.26		Adenosylcobinamide-GDP ribazoletransferase
CDLFLBIA_00016	gene	174				
CDLFLBIA_00016	CDS	174				hypothetical protein
CDLFLBIA_00017	gene	1686	dauA			
