locus_tag	ftype	length_bp	gene	EC_number	COG	product
JOGLLAEH_00001	gene	1944	rlhA			
JOGLLAEH_00001	CDS	1944	rlhA		COG0826	23S rRNA 5-hydroxycytidine synthase
JOGLLAEH_00002	gene	1017				
JOGLLAEH_00002	CDS	1017				hypothetical protein
JOGLLAEH_00003	gene	2409	btuB_1			
JOGLLAEH_00003	CDS	2409	btuB_1			Vitamin B12 transporter BtuB
JOGLLAEH_00004	gene	2217				
JOGLLAEH_00004	CDS	2217				hypothetical protein
JOGLLAEH_00005	gene	1578	glcA			
JOGLLAEH_00005	CDS	1578	glcA		COG1620	Glycolate permease GlcA
JOGLLAEH_00006	gene	1134	hemW			
JOGLLAEH_00006	CDS	1134	hemW		COG0635	Heme chaperone HemW
JOGLLAEH_00007	gene	2160	fusA_1			
JOGLLAEH_00007	CDS	2160	fusA_1		COG0480	Elongation factor G
JOGLLAEH_00008	gene	690				
JOGLLAEH_00008	CDS	690				hypothetical protein
JOGLLAEH_00009	gene	1548	sasA_1			
JOGLLAEH_00009	CDS	1548	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
JOGLLAEH_00010	gene	699	copR			
JOGLLAEH_00010	CDS	699	copR			Transcriptional activator protein CopR
JOGLLAEH_00011	gene	345				
JOGLLAEH_00011	CDS	345				hypothetical protein
JOGLLAEH_00012	gene	270				
JOGLLAEH_00012	CDS	270				hypothetical protein
JOGLLAEH_00013	gene	561				
JOGLLAEH_00013	CDS	561				hypothetical protein
JOGLLAEH_00014	gene	1593	nadB			
JOGLLAEH_00014	CDS	1593	nadB	1.4.3.16	COG0029	L-aspartate oxidase
JOGLLAEH_00015	gene	1713				
JOGLLAEH_00015	CDS	1713				hypothetical protein
JOGLLAEH_00016	gene	2007	hutU			
JOGLLAEH_00016	CDS	2007	hutU	4.2.1.49	COG2987	Urocanate hydratase
JOGLLAEH_00017	gene	1476	hutH			
JOGLLAEH_00017	CDS	1476	hutH	4.3.1.3	COG2986	Histidine ammonia-lyase
JOGLLAEH_00018	gene	1251	hutI			
JOGLLAEH_00018	CDS	1251	hutI	3.5.2.7	COG1228	Imidazolonepropionase
JOGLLAEH_00019	gene	339				
JOGLLAEH_00019	CDS	339				hypothetical protein
JOGLLAEH_00020	gene	966	queG			
JOGLLAEH_00020	CDS	966	queG	1.17.99.6	COG1600	Epoxyqueuosine reductase
