locus_tag	ftype	length_bp	gene	EC_number	COG	product
GOEHLEBP_00001	gene	912				
GOEHLEBP_00001	CDS	912				hypothetical protein
GOEHLEBP_00002	gene	468	asnC_1			
GOEHLEBP_00002	CDS	468	asnC_1		COG1522	Regulatory protein AsnC
GOEHLEBP_00003	gene	1755				
GOEHLEBP_00003	CDS	1755				hypothetical protein
GOEHLEBP_00004	gene	1038				
GOEHLEBP_00004	CDS	1038				hypothetical protein
GOEHLEBP_00005	gene	201				
GOEHLEBP_00005	CDS	201				hypothetical protein
GOEHLEBP_00006	gene	1233				
GOEHLEBP_00006	CDS	1233				hypothetical protein
GOEHLEBP_00007	gene	1473				
GOEHLEBP_00007	CDS	1473				hypothetical protein
GOEHLEBP_00008	gene	2127	dpp7			
GOEHLEBP_00008	CDS	2127	dpp7	3.4.14.-		Dipeptidyl-peptidase 7
GOEHLEBP_00009	gene	717				
GOEHLEBP_00009	CDS	717				hypothetical protein
GOEHLEBP_00010	gene	726				
GOEHLEBP_00010	CDS	726				hypothetical protein
GOEHLEBP_00011	gene	1038	wbbI			
GOEHLEBP_00011	CDS	1038	wbbI	2.4.1.-		Beta-1,6-galactofuranosyltransferase WbbI
GOEHLEBP_00012	gene	852				
GOEHLEBP_00012	CDS	852				hypothetical protein
GOEHLEBP_00013	gene	843				
GOEHLEBP_00013	CDS	843				hypothetical protein
GOEHLEBP_00014	gene	651				
GOEHLEBP_00014	CDS	651				hypothetical protein
GOEHLEBP_00015	gene	291				
GOEHLEBP_00015	CDS	291				hypothetical protein
GOEHLEBP_00016	gene	324				
GOEHLEBP_00016	CDS	324				hypothetical protein
GOEHLEBP_00017	gene	4803				
GOEHLEBP_00017	CDS	4803				hypothetical protein
GOEHLEBP_00018	gene	1230				
GOEHLEBP_00018	CDS	1230				hypothetical protein
GOEHLEBP_00019	gene	558				
GOEHLEBP_00019	CDS	558				hypothetical protein
GOEHLEBP_00020	gene	786	tcdA			
GOEHLEBP_00020	CDS	786	tcdA	6.1.-.-	COG1179	tRNA threonylcarbamoyladenosine dehydratase
GOEHLEBP_00021	gene	450				
GOEHLEBP_00021	CDS	450				hypothetical protein
GOEHLEBP_00022	gene	102				
GOEHLEBP_00022	CDS	102				hypothetical protein
GOEHLEBP_00023	gene	2115				
GOEHLEBP_00023	CDS	2115				hypothetical protein
GOEHLEBP_00024	gene	468				
GOEHLEBP_00024	CDS	468				hypothetical protein
GOEHLEBP_00025	gene	1887				
GOEHLEBP_00025	CDS	1887				hypothetical protein
GOEHLEBP_00026	gene	1296	adeP			
GOEHLEBP_00026	CDS	1296	adeP		COG2252	Adenine permease AdeP
GOEHLEBP_00027	gene	744				
GOEHLEBP_00027	CDS	744				hypothetical protein
GOEHLEBP_00028	gene	1218	pyrP			
GOEHLEBP_00028	CDS	1218	pyrP			Uracil permease
GOEHLEBP_00029	gene	606				
GOEHLEBP_00029	CDS	606				hypothetical protein
GOEHLEBP_00030	gene	411				
GOEHLEBP_00030	CDS	411				hypothetical protein
GOEHLEBP_00031	gene	1440				
GOEHLEBP_00031	CDS	1440				hypothetical protein
GOEHLEBP_00032	gene	141				
GOEHLEBP_00032	CDS	141				hypothetical protein
GOEHLEBP_00033	gene	777	dapB			
GOEHLEBP_00033	CDS	777	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
GOEHLEBP_00034	gene	426				
GOEHLEBP_00034	CDS	426				hypothetical protein
GOEHLEBP_00035	gene	1227				
GOEHLEBP_00035	CDS	1227		3.1.3.3	COG0560	Phosphoserine phosphatase
GOEHLEBP_00036	gene	1377				
GOEHLEBP_00036	CDS	1377				hypothetical protein
GOEHLEBP_00037	gene	1866	deaD_1			
GOEHLEBP_00037	CDS	1866	deaD_1	3.6.4.13		ATP-dependent RNA helicase DeaD
GOEHLEBP_00038	gene	621				
GOEHLEBP_00038	CDS	621		3.2.2.-	COG1611	Putative cytokinin riboside 5'-monophosphate phosphoribohydrolase
