locus_tag	ftype	length_bp	gene	EC_number	COG	product
CEMEIKGF_00001	gene	107				
CEMEIKGF_00001	rRNA	107				5S ribosomal RNA
CEMEIKGF_00002	gene	375				
CEMEIKGF_00002	CDS	375				hypothetical protein
CEMEIKGF_00003	gene	546				
CEMEIKGF_00003	CDS	546				hypothetical protein
CEMEIKGF_00004	gene	1164	sasA_1			
CEMEIKGF_00004	CDS	1164	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
CEMEIKGF_00005	gene	360				
CEMEIKGF_00005	CDS	360				hypothetical protein
CEMEIKGF_00006	gene	1440				
CEMEIKGF_00006	CDS	1440				hypothetical protein
CEMEIKGF_00007	gene	627				
CEMEIKGF_00007	CDS	627				hypothetical protein
CEMEIKGF_00008	gene	522				
CEMEIKGF_00008	CDS	522				hypothetical protein
CEMEIKGF_00009	gene	522				
CEMEIKGF_00009	CDS	522				hypothetical protein
CEMEIKGF_00010	gene	189	rpmF			
CEMEIKGF_00010	CDS	189	rpmF			50S ribosomal protein L32
CEMEIKGF_00011	gene	1011	fabH			
CEMEIKGF_00011	CDS	1011	fabH	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
CEMEIKGF_00012	gene	1056	era			
CEMEIKGF_00012	CDS	1056	era		COG1159	GTPase Era
CEMEIKGF_00013	gene	1317	der_1			
CEMEIKGF_00013	CDS	1317	der_1		COG1160	GTPase Der
CEMEIKGF_00014	gene	399				
CEMEIKGF_00014	CDS	399				hypothetical protein
CEMEIKGF_00015	gene	777	mkl			
CEMEIKGF_00015	CDS	777	mkl		COG1127	putative ribonucleotide transport ATP-binding protein mkl
CEMEIKGF_00016	gene	747	mlaE			
CEMEIKGF_00016	CDS	747	mlaE		COG0767	Intermembrane phospholipid transport system permease protein MlaE
CEMEIKGF_00017	gene	564				
CEMEIKGF_00017	CDS	564				hypothetical protein
CEMEIKGF_00018	gene	825	lptB_1			
CEMEIKGF_00018	CDS	825	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
CEMEIKGF_00019	gene	609				
CEMEIKGF_00019	CDS	609				hypothetical protein
CEMEIKGF_00020	gene	939	prs			
CEMEIKGF_00020	CDS	939	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
CEMEIKGF_00021	gene	582	resA_1			
CEMEIKGF_00021	CDS	582	resA_1			Thiol-disulfide oxidoreductase ResA
CEMEIKGF_00022	gene	3099				
CEMEIKGF_00022	CDS	3099				hypothetical protein
CEMEIKGF_00023	gene	1356	tig			
CEMEIKGF_00023	CDS	1356	tig	5.2.1.8		Trigger factor
CEMEIKGF_00024	gene	666	clpP			
CEMEIKGF_00024	CDS	666	clpP	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
CEMEIKGF_00025	gene	1230	clpX_1			
CEMEIKGF_00025	CDS	1230	clpX_1		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
CEMEIKGF_00026	gene	2181	recQ			
CEMEIKGF_00026	CDS	2181	recQ	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
CEMEIKGF_00027	gene	1257				
CEMEIKGF_00027	CDS	1257				hypothetical protein
CEMEIKGF_00028	gene	2601	clpB1			
CEMEIKGF_00028	CDS	2601	clpB1		COG0542	Chaperone protein ClpB 1
CEMEIKGF_00029	gene	744				
CEMEIKGF_00029	CDS	744				hypothetical protein
CEMEIKGF_00030	gene	759				
CEMEIKGF_00030	CDS	759				hypothetical protein
CEMEIKGF_00031	gene	768				
CEMEIKGF_00031	CDS	768				hypothetical protein
CEMEIKGF_00032	gene	2106	f1pep1			
CEMEIKGF_00032	CDS	2106	f1pep1	3.4.21.26		Prolyl endopeptidase
CEMEIKGF_00033	gene	2028				
CEMEIKGF_00033	CDS	2028				hypothetical protein
CEMEIKGF_00034	gene	453	bcp			
CEMEIKGF_00034	CDS	453	bcp	1.11.1.15	COG1225	Peroxiredoxin Bcp
CEMEIKGF_00035	gene	5553				
CEMEIKGF_00035	CDS	5553				hypothetical protein
CEMEIKGF_00036	gene	1065				
CEMEIKGF_00036	CDS	1065				hypothetical protein
CEMEIKGF_00037	gene	1107				
CEMEIKGF_00037	CDS	1107		3.6.-.-	COG1703	putative GTPase
CEMEIKGF_00038	gene	861	ispH			
CEMEIKGF_00038	CDS	861	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
CEMEIKGF_00039	gene	83				
