locus_tag	ftype	length_bp	gene	EC_number	COG	product
KAGJFKJG_00001	gene	2343				
KAGJFKJG_00001	CDS	2343				hypothetical protein
KAGJFKJG_00002	gene	300				
KAGJFKJG_00002	CDS	300				hypothetical protein
KAGJFKJG_00003	gene	819	pdxK			
KAGJFKJG_00003	CDS	819	pdxK	2.7.1.35		Pyridoxine/pyridoxal/pyridoxamine kinase
KAGJFKJG_00004	gene	1416				
KAGJFKJG_00004	CDS	1416				hypothetical protein
KAGJFKJG_00005	gene	2685				
KAGJFKJG_00005	CDS	2685				hypothetical protein
KAGJFKJG_00006	gene	1116				
KAGJFKJG_00006	CDS	1116				hypothetical protein
KAGJFKJG_00007	gene	1563				
KAGJFKJG_00007	CDS	1563				hypothetical protein
KAGJFKJG_00008	gene	444				
KAGJFKJG_00008	CDS	444				hypothetical protein
KAGJFKJG_00009	gene	1545				
KAGJFKJG_00009	CDS	1545				hypothetical protein
KAGJFKJG_00010	gene	3537				
KAGJFKJG_00010	CDS	3537				hypothetical protein
KAGJFKJG_00011	gene	672				
KAGJFKJG_00011	CDS	672				hypothetical protein
KAGJFKJG_00012	gene	519				
KAGJFKJG_00012	CDS	519				hypothetical protein
KAGJFKJG_00013	gene	885				
KAGJFKJG_00013	CDS	885				hypothetical protein
KAGJFKJG_00014	gene	1008				
KAGJFKJG_00014	CDS	1008				hypothetical protein
KAGJFKJG_00015	gene	627	trmR			
KAGJFKJG_00015	CDS	627	trmR	2.1.1.-		tRNA 5-hydroxyuridine methyltransferase
KAGJFKJG_00016	gene	420	aroQ1			
KAGJFKJG_00016	CDS	420	aroQ1	4.2.1.10	COG0757	3-dehydroquinate dehydratase 1
KAGJFKJG_00017	gene	786				
KAGJFKJG_00017	CDS	786				hypothetical protein
KAGJFKJG_00018	gene	2049	bepA_1			
KAGJFKJG_00018	CDS	2049	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
KAGJFKJG_00019	gene	1419				
KAGJFKJG_00019	CDS	1419				hypothetical protein
KAGJFKJG_00020	gene	705				
KAGJFKJG_00020	CDS	705				hypothetical protein
KAGJFKJG_00021	gene	750	ispU			
KAGJFKJG_00021	CDS	750	ispU	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
KAGJFKJG_00022	gene	2616	bamA_1			
