locus_tag	ftype	length_bp	gene	EC_number	COG	product
PEKLDMPL_00001	gene	591				
PEKLDMPL_00001	CDS	591				hypothetical protein
PEKLDMPL_00002	gene	339				
PEKLDMPL_00002	CDS	339				hypothetical protein
PEKLDMPL_00003	gene	3288				
PEKLDMPL_00003	CDS	3288				hypothetical protein
PEKLDMPL_00004	gene	1200				
PEKLDMPL_00004	CDS	1200				hypothetical protein
PEKLDMPL_00005	gene	645	ytrE			
PEKLDMPL_00005	CDS	645	ytrE		COG1136	ABC transporter ATP-binding protein YtrE
PEKLDMPL_00006	gene	1341				
PEKLDMPL_00006	CDS	1341				hypothetical protein
PEKLDMPL_00007	gene	732	rsmE			
PEKLDMPL_00007	CDS	732	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
PEKLDMPL_00008	gene	564				
PEKLDMPL_00008	CDS	564				hypothetical protein
PEKLDMPL_00009	gene	1329	nupG			
PEKLDMPL_00009	CDS	1329	nupG			Nucleoside permease NupG
PEKLDMPL_00010	gene	999	dagK			
PEKLDMPL_00010	CDS	999	dagK	2.7.1.107	COG1597	Diacylglycerol kinase
PEKLDMPL_00011	gene	954				
PEKLDMPL_00011	CDS	954				hypothetical protein
PEKLDMPL_00012	gene	675				
PEKLDMPL_00012	CDS	675			COG0325	Pyridoxal phosphate homeostasis protein
PEKLDMPL_00013	gene	492				
PEKLDMPL_00013	CDS	492				hypothetical protein
PEKLDMPL_00014	gene	621				
PEKLDMPL_00014	CDS	621				hypothetical protein
PEKLDMPL_00015	gene	978				
PEKLDMPL_00015	CDS	978				hypothetical protein
PEKLDMPL_00016	gene	405				
PEKLDMPL_00016	CDS	405				hypothetical protein
PEKLDMPL_00017	gene	780				
PEKLDMPL_00017	CDS	780				hypothetical protein
PEKLDMPL_00018	gene	249				
PEKLDMPL_00018	CDS	249				hypothetical protein
PEKLDMPL_00019	gene	549				
PEKLDMPL_00019	CDS	549				hypothetical protein
PEKLDMPL_00020	gene	735				
PEKLDMPL_00020	CDS	735		1.-.-.-	COG1028	putative oxidoreductase
PEKLDMPL_00021	gene	1767	sppA			
PEKLDMPL_00021	CDS	1767	sppA	3.4.21.-	COG0616	Protease 4
PEKLDMPL_00022	gene	1173	lpxK			
PEKLDMPL_00022	CDS	1173	lpxK	2.7.1.130	COG1663	Tetraacyldisaccharide 4'-kinase
PEKLDMPL_00023	gene	660	punA			
PEKLDMPL_00023	CDS	660	punA	2.4.2.1	COG0005	Purine nucleoside phosphorylase 1
PEKLDMPL_00024	gene	1116	thiL			
PEKLDMPL_00024	CDS	1116	thiL	2.7.4.16	COG0611	Thiamine-monophosphate kinase
PEKLDMPL_00025	gene	1281	glyA			
PEKLDMPL_00025	CDS	1281	glyA	2.1.2.1	COG0112	Serine hydroxymethyltransferase
PEKLDMPL_00026	gene	360	yjbR			
PEKLDMPL_00026	CDS	360	yjbR		COG2315	putative protein YjbR
PEKLDMPL_00027	gene	579				
PEKLDMPL_00027	CDS	579				hypothetical protein
PEKLDMPL_00028	gene	1020				
PEKLDMPL_00028	CDS	1020				hypothetical protein
PEKLDMPL_00029	gene	1332	mtaB			
PEKLDMPL_00029	CDS	1332	mtaB	2.8.4.5	COG0621	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB
PEKLDMPL_00030	gene	195				
PEKLDMPL_00030	CDS	195				hypothetical protein
PEKLDMPL_00031	gene	207				
PEKLDMPL_00031	CDS	207				hypothetical protein
PEKLDMPL_00032	gene	1779	rpsA			
PEKLDMPL_00032	CDS	1779	rpsA		COG0539	30S ribosomal protein S1
PEKLDMPL_00033	gene	405				
PEKLDMPL_00033	CDS	405				hypothetical protein
PEKLDMPL_00034	gene	873	sigA			
PEKLDMPL_00034	CDS	873	sigA		COG0568	RNA polymerase sigma factor SigA
