locus_tag	ftype	length_bp	gene	EC_number	COG	product
CFDBMHJD_00001	gene	1038				
CFDBMHJD_00001	CDS	1038				hypothetical protein
CFDBMHJD_00002	gene	723				
CFDBMHJD_00002	CDS	723				hypothetical protein
CFDBMHJD_00003	gene	495				
CFDBMHJD_00003	CDS	495				hypothetical protein
CFDBMHJD_00004	gene	543	mtcA1			
CFDBMHJD_00004	CDS	543	mtcA1	4.2.1.1	COG0288	Beta-carbonic anhydrase 1
CFDBMHJD_00005	gene	687				
CFDBMHJD_00005	CDS	687				hypothetical protein
CFDBMHJD_00006	gene	564				
CFDBMHJD_00006	CDS	564				hypothetical protein
CFDBMHJD_00007	gene	591				
CFDBMHJD_00007	CDS	591				hypothetical protein
CFDBMHJD_00008	gene	339				
CFDBMHJD_00008	CDS	339				hypothetical protein
CFDBMHJD_00009	gene	3288				
CFDBMHJD_00009	CDS	3288				hypothetical protein
CFDBMHJD_00010	gene	1200				
CFDBMHJD_00010	CDS	1200				hypothetical protein
CFDBMHJD_00011	gene	645	ytrE			
CFDBMHJD_00011	CDS	645	ytrE		COG1136	ABC transporter ATP-binding protein YtrE
CFDBMHJD_00012	gene	1341				
CFDBMHJD_00012	CDS	1341				hypothetical protein
CFDBMHJD_00013	gene	732	rsmE			
CFDBMHJD_00013	CDS	732	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
CFDBMHJD_00014	gene	564				
CFDBMHJD_00014	CDS	564				hypothetical protein
CFDBMHJD_00015	gene	1329	nupG			
CFDBMHJD_00015	CDS	1329	nupG			Nucleoside permease NupG
CFDBMHJD_00016	gene	999	dagK			
CFDBMHJD_00016	CDS	999	dagK	2.7.1.107	COG1597	Diacylglycerol kinase
CFDBMHJD_00017	gene	954				
CFDBMHJD_00017	CDS	954				hypothetical protein
CFDBMHJD_00018	gene	675				
CFDBMHJD_00018	CDS	675			COG0325	Pyridoxal phosphate homeostasis protein
CFDBMHJD_00019	gene	492				
CFDBMHJD_00019	CDS	492				hypothetical protein
CFDBMHJD_00020	gene	621				
CFDBMHJD_00020	CDS	621				hypothetical protein
CFDBMHJD_00021	gene	978				
CFDBMHJD_00021	CDS	978				hypothetical protein
CFDBMHJD_00022	gene	405				
CFDBMHJD_00022	CDS	405				hypothetical protein
CFDBMHJD_00023	gene	780				
CFDBMHJD_00023	CDS	780				hypothetical protein
CFDBMHJD_00024	gene	249				
CFDBMHJD_00024	CDS	249				hypothetical protein
CFDBMHJD_00025	gene	549				
CFDBMHJD_00025	CDS	549				hypothetical protein
CFDBMHJD_00026	gene	735				
CFDBMHJD_00026	CDS	735		1.-.-.-	COG1028	putative oxidoreductase
CFDBMHJD_00027	gene	1767	sppA			
CFDBMHJD_00027	CDS	1767	sppA	3.4.21.-	COG0616	Protease 4
CFDBMHJD_00028	gene	1173	lpxK			
CFDBMHJD_00028	CDS	1173	lpxK	2.7.1.130	COG1663	Tetraacyldisaccharide 4'-kinase
CFDBMHJD_00029	gene	660	punA			
CFDBMHJD_00029	CDS	660	punA	2.4.2.1	COG0005	Purine nucleoside phosphorylase 1
CFDBMHJD_00030	gene	1116	thiL			
CFDBMHJD_00030	CDS	1116	thiL	2.7.4.16	COG0611	Thiamine-monophosphate kinase
CFDBMHJD_00031	gene	1344	glyA			
CFDBMHJD_00031	CDS	1344	glyA	2.1.2.1	COG0112	Serine hydroxymethyltransferase
CFDBMHJD_00032	gene	360	yjbR			
CFDBMHJD_00032	CDS	360	yjbR		COG2315	putative protein YjbR
CFDBMHJD_00033	gene	579				
CFDBMHJD_00033	CDS	579				hypothetical protein
CFDBMHJD_00034	gene	1020				
CFDBMHJD_00034	CDS	1020				hypothetical protein
CFDBMHJD_00035	gene	1332	mtaB			
CFDBMHJD_00035	CDS	1332	mtaB	2.8.4.5	COG0621	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB
CFDBMHJD_00036	gene	195				
CFDBMHJD_00036	CDS	195				hypothetical protein
CFDBMHJD_00037	gene	210				
CFDBMHJD_00037	CDS	210				hypothetical protein
CFDBMHJD_00038	gene	1779	rpsA			
CFDBMHJD_00038	CDS	1779	rpsA		COG0539	30S ribosomal protein S1
CFDBMHJD_00039	gene	273				
CFDBMHJD_00039	CDS	273				hypothetical protein
CFDBMHJD_00040	gene	873	sigA			
CFDBMHJD_00040	CDS	873	sigA		COG0568	RNA polymerase sigma factor SigA
CFDBMHJD_00041	gene	780	zupT			
CFDBMHJD_00041	CDS	780	zupT		COG0428	Zinc transporter ZupT
CFDBMHJD_00042	gene	1011	gapA			
CFDBMHJD_00042	CDS	1011	gapA	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase A
CFDBMHJD_00043	gene	423	mscL			
CFDBMHJD_00043	CDS	423	mscL		COG1970	Large-conductance mechanosensitive channel
CFDBMHJD_00044	gene	156				
CFDBMHJD_00044	CDS	156				hypothetical protein
CFDBMHJD_00045	gene	1038	lplJ			
CFDBMHJD_00045	CDS	1038	lplJ	6.3.1.20	COG0095	Lipoate-protein ligase LplJ
CFDBMHJD_00046	gene	1095	gcvT			
CFDBMHJD_00046	CDS	1095	gcvT	2.1.2.10		Aminomethyltransferase
CFDBMHJD_00047	gene	387	gcvH			
CFDBMHJD_00047	CDS	387	gcvH			Glycine cleavage system H protein
CFDBMHJD_00048	gene	1326	gcvPA			
CFDBMHJD_00048	CDS	1326	gcvPA	1.4.4.2		putative glycine dehydrogenase (decarboxylating) subunit 1
CFDBMHJD_00049	gene	1509	gcvPB			
CFDBMHJD_00049	CDS	1509	gcvPB	1.4.4.2		putative glycine dehydrogenase (decarboxylating) subunit 2
CFDBMHJD_00050	gene	1314	pdhD			
CFDBMHJD_00050	CDS	1314	pdhD	1.8.1.4		Dihydrolipoyl dehydrogenase
CFDBMHJD_00051	gene	888				
CFDBMHJD_00051	CDS	888				hypothetical protein
CFDBMHJD_00052	gene	339				
CFDBMHJD_00052	CDS	339				hypothetical protein
CFDBMHJD_00053	gene	459	ogt			
CFDBMHJD_00053	CDS	459	ogt	2.1.1.63		Methylated-DNA--protein-cysteine methyltransferase
CFDBMHJD_00054	gene	1566	guaA			
CFDBMHJD_00054	CDS	1566	guaA	6.3.5.2		GMP synthase [glutamine-hydrolyzing]
CFDBMHJD_00055	gene	726	murU			
CFDBMHJD_00055	CDS	726	murU	2.7.7.99	COG1208	N-acetylmuramate alpha-1-phosphate uridylyltransferase
CFDBMHJD_00056	gene	75				
CFDBMHJD_00056	tRNA	75				tRNA-Arg(acg)
CFDBMHJD_00057	gene	621				
CFDBMHJD_00057	CDS	621				hypothetical protein
CFDBMHJD_00058	gene	1278	rarA			
CFDBMHJD_00058	CDS	1278	rarA		COG2256	Replication-associated recombination protein A
CFDBMHJD_00059	gene	813				
CFDBMHJD_00059	CDS	813				hypothetical protein
CFDBMHJD_00060	gene	801				
CFDBMHJD_00060	CDS	801				hypothetical protein
CFDBMHJD_00061	gene	981				
CFDBMHJD_00061	CDS	981			COG1702	PhoH-like protein
CFDBMHJD_00062	gene	981	purC			
CFDBMHJD_00062	CDS	981	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
CFDBMHJD_00063	gene	735	menG			
CFDBMHJD_00063	CDS	735	menG	2.1.1.163		Demethylmenaquinone methyltransferase
CFDBMHJD_00064	gene	741	aroE			
CFDBMHJD_00064	CDS	741	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
CFDBMHJD_00065	gene	1203	purM			
CFDBMHJD_00065	CDS	1203	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
CFDBMHJD_00066	gene	1113	prfA			
CFDBMHJD_00066	CDS	1113	prfA		COG0216	Peptide chain release factor 1
CFDBMHJD_00067	gene	825	pyrF			
CFDBMHJD_00067	CDS	825	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
CFDBMHJD_00068	gene	108				
CFDBMHJD_00068	CDS	108				hypothetical protein
CFDBMHJD_00069	gene	1416				
CFDBMHJD_00069	CDS	1416				hypothetical protein
CFDBMHJD_00070	gene	1269	mshA_1			
CFDBMHJD_00070	CDS	1269	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
CFDBMHJD_00071	gene	1917				
CFDBMHJD_00071	CDS	1917				hypothetical protein
CFDBMHJD_00072	gene	933	ytlR			
CFDBMHJD_00072	CDS	933	ytlR	2.7.1.-	COG1597	Putative lipid kinase YtlR
CFDBMHJD_00073	gene	987	miaA_1			
CFDBMHJD_00073	CDS	987	miaA_1	2.5.1.75	COG0324	tRNA dimethylallyltransferase
CFDBMHJD_00074	gene	606				
CFDBMHJD_00074	CDS	606				hypothetical protein
CFDBMHJD_00075	gene	2064	dsbD			
CFDBMHJD_00075	CDS	2064	dsbD	1.8.1.8		Thiol:disulfide interchange protein DsbD
CFDBMHJD_00076	gene	1113	macA			
CFDBMHJD_00076	CDS	1113	macA		COG0845	Macrolide export protein MacA
CFDBMHJD_00077	gene	1248	macB_1			
CFDBMHJD_00077	CDS	1248	macB_1	3.6.3.-		Macrolide export ATP-binding/permease protein MacB
CFDBMHJD_00078	gene	1260	macB_2			
CFDBMHJD_00078	CDS	1260	macB_2	3.6.3.-		Macrolide export ATP-binding/permease protein MacB
CFDBMHJD_00079	gene	672	yknY_1			
CFDBMHJD_00079	CDS	672	yknY_1	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
CFDBMHJD_00080	gene	171				
CFDBMHJD_00080	CDS	171				hypothetical protein
CFDBMHJD_00081	gene	2559				
CFDBMHJD_00081	CDS	2559				hypothetical protein
CFDBMHJD_00082	gene	2469	mrcA			
CFDBMHJD_00082	CDS	2469	mrcA		COG5009	Penicillin-binding protein 1A
CFDBMHJD_00083	gene	909	miaA_2			
CFDBMHJD_00083	CDS	909	miaA_2	2.5.1.75	COG0324	tRNA dimethylallyltransferase
CFDBMHJD_00084	gene	774	lpxA_1			
CFDBMHJD_00084	CDS	774	lpxA_1	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
CFDBMHJD_00085	gene	1386	lpxC			
CFDBMHJD_00085	CDS	1386	lpxC	3.5.1.108		UDP-3-O-acyl-N-acetylglucosamine deacetylase
