locus_tag	ftype	length_bp	gene	EC_number	COG	product
HIKGEFOG_00001	gene	1542				
HIKGEFOG_00001	CDS	1542				hypothetical protein
HIKGEFOG_00002	gene	1164	sasA_1			
HIKGEFOG_00002	CDS	1164	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
HIKGEFOG_00003	gene	360				
HIKGEFOG_00003	CDS	360				hypothetical protein
HIKGEFOG_00004	gene	1440				
HIKGEFOG_00004	CDS	1440				hypothetical protein
HIKGEFOG_00005	gene	627				
HIKGEFOG_00005	CDS	627				hypothetical protein
HIKGEFOG_00006	gene	522				
HIKGEFOG_00006	CDS	522				hypothetical protein
HIKGEFOG_00007	gene	189	rpmF			
HIKGEFOG_00007	CDS	189	rpmF			50S ribosomal protein L32
HIKGEFOG_00008	gene	1011	fabH			
HIKGEFOG_00008	CDS	1011	fabH	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
HIKGEFOG_00009	gene	1035	era			
HIKGEFOG_00009	CDS	1035	era		COG1159	GTPase Era
HIKGEFOG_00010	gene	1317	der			
HIKGEFOG_00010	CDS	1317	der		COG1160	GTPase Der
HIKGEFOG_00011	gene	399				
HIKGEFOG_00011	CDS	399				hypothetical protein
HIKGEFOG_00012	gene	777	mkl			
HIKGEFOG_00012	CDS	777	mkl		COG1127	putative ribonucleotide transport ATP-binding protein mkl
HIKGEFOG_00013	gene	747	mlaE			
HIKGEFOG_00013	CDS	747	mlaE		COG0767	Intermembrane phospholipid transport system permease protein MlaE
HIKGEFOG_00014	gene	564				
HIKGEFOG_00014	CDS	564				hypothetical protein
HIKGEFOG_00015	gene	825	lptB_1			
HIKGEFOG_00015	CDS	825	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
HIKGEFOG_00016	gene	609				
HIKGEFOG_00016	CDS	609				hypothetical protein
HIKGEFOG_00017	gene	939	prs			
HIKGEFOG_00017	CDS	939	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
HIKGEFOG_00018	gene	582	resA_1			
HIKGEFOG_00018	CDS	582	resA_1			Thiol-disulfide oxidoreductase ResA
HIKGEFOG_00019	gene	3099				
HIKGEFOG_00019	CDS	3099				hypothetical protein
HIKGEFOG_00020	gene	1356	tig			
HIKGEFOG_00020	CDS	1356	tig	5.2.1.8		Trigger factor
HIKGEFOG_00021	gene	666	clpP_1			
HIKGEFOG_00021	CDS	666	clpP_1	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
HIKGEFOG_00022	gene	1230	clpX			
HIKGEFOG_00022	CDS	1230	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
HIKGEFOG_00023	gene	2181	recQ			
HIKGEFOG_00023	CDS	2181	recQ	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
HIKGEFOG_00024	gene	1257				
HIKGEFOG_00024	CDS	1257				hypothetical protein
HIKGEFOG_00025	gene	2601	clpB1			
HIKGEFOG_00025	CDS	2601	clpB1		COG0542	Chaperone protein ClpB 1
HIKGEFOG_00026	gene	744				
HIKGEFOG_00026	CDS	744				hypothetical protein
HIKGEFOG_00027	gene	768				
HIKGEFOG_00027	CDS	768				hypothetical protein
HIKGEFOG_00028	gene	768				
HIKGEFOG_00028	CDS	768				hypothetical protein
HIKGEFOG_00029	gene	2106	f1pep1			
HIKGEFOG_00029	CDS	2106	f1pep1	3.4.21.26		Prolyl endopeptidase
HIKGEFOG_00030	gene	2028				
HIKGEFOG_00030	CDS	2028				hypothetical protein
HIKGEFOG_00031	gene	453	bcp			
HIKGEFOG_00031	CDS	453	bcp	1.11.1.15	COG1225	Peroxiredoxin Bcp
HIKGEFOG_00032	gene	5553				
HIKGEFOG_00032	CDS	5553				hypothetical protein
HIKGEFOG_00033	gene	1065				
HIKGEFOG_00033	CDS	1065				hypothetical protein
HIKGEFOG_00034	gene	1107				
HIKGEFOG_00034	CDS	1107		3.6.-.-	COG1703	putative GTPase
HIKGEFOG_00035	gene	861	ispH			
HIKGEFOG_00035	CDS	861	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
HIKGEFOG_00036	gene	83				
HIKGEFOG_00036	tRNA	83				tRNA-Leu(tag)
HIKGEFOG_00037	gene	828	btuD_1			
HIKGEFOG_00037	CDS	828	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
HIKGEFOG_00038	gene	1005				
HIKGEFOG_00038	CDS	1005				hypothetical protein
HIKGEFOG_00039	gene	861				
HIKGEFOG_00039	CDS	861				hypothetical protein
HIKGEFOG_00040	gene	2682	parC			
HIKGEFOG_00040	CDS	2682	parC	5.6.2.2		DNA topoisomerase 4 subunit A
HIKGEFOG_00041	gene	951				
HIKGEFOG_00041	CDS	951				hypothetical protein
HIKGEFOG_00042	gene	720				
HIKGEFOG_00042	CDS	720				hypothetical protein
HIKGEFOG_00043	gene	975				
HIKGEFOG_00043	CDS	975		2.5.1.10	COG0142	(2E,6E)-farnesyl diphosphate synthase
HIKGEFOG_00044	gene	699				
HIKGEFOG_00044	CDS	699				hypothetical protein
HIKGEFOG_00045	gene	882	dtd3			
HIKGEFOG_00045	CDS	882	dtd3	3.1.1.96		D-aminoacyl-tRNA deacylase
HIKGEFOG_00046	gene	89				
HIKGEFOG_00046	tRNA	89				tRNA-Ser(gga)
HIKGEFOG_00047	gene	330				
HIKGEFOG_00047	CDS	330				hypothetical protein
HIKGEFOG_00048	gene	450				
HIKGEFOG_00048	CDS	450				hypothetical protein
HIKGEFOG_00049	gene	1452				
HIKGEFOG_00049	CDS	1452				hypothetical protein
HIKGEFOG_00050	gene	555	resA_2			
HIKGEFOG_00050	CDS	555	resA_2			Thiol-disulfide oxidoreductase ResA
HIKGEFOG_00051	gene	534	maa			
HIKGEFOG_00051	CDS	534	maa	2.3.1.79	COG0110	Maltose O-acetyltransferase
HIKGEFOG_00052	gene	483				
HIKGEFOG_00052	CDS	483				hypothetical protein
HIKGEFOG_00053	gene	498				
HIKGEFOG_00053	CDS	498				hypothetical protein
HIKGEFOG_00054	gene	477				
HIKGEFOG_00054	CDS	477				hypothetical protein
HIKGEFOG_00055	gene	807	tolQ_1			
HIKGEFOG_00055	CDS	807	tolQ_1			Tol-Pal system protein TolQ
HIKGEFOG_00056	gene	486	asnC_1			
HIKGEFOG_00056	CDS	486	asnC_1		COG1522	Regulatory protein AsnC
HIKGEFOG_00057	gene	135				
HIKGEFOG_00057	CDS	135				hypothetical protein
HIKGEFOG_00058	gene	486	dfrA			
HIKGEFOG_00058	CDS	486	dfrA	1.5.1.3	COG0262	Dihydrofolate reductase
HIKGEFOG_00059	gene	795	thyA			
HIKGEFOG_00059	CDS	795	thyA	2.1.1.45	COG0207	Thymidylate synthase
HIKGEFOG_00060	gene	1389	rsmF			
HIKGEFOG_00060	CDS	1389	rsmF	2.1.1.178	COG0144	Ribosomal RNA small subunit methyltransferase F
HIKGEFOG_00061	gene	777				
HIKGEFOG_00061	CDS	777				hypothetical protein
HIKGEFOG_00062	gene	186				
HIKGEFOG_00062	CDS	186				hypothetical protein
HIKGEFOG_00063	gene	543	algU			
HIKGEFOG_00063	CDS	543	algU		COG1595	RNA polymerase sigma-H factor
HIKGEFOG_00064	gene	360				
HIKGEFOG_00064	CDS	360				hypothetical protein
HIKGEFOG_00065	gene	2067	pal_1			
HIKGEFOG_00065	CDS	2067	pal_1			Peptidoglycan-associated lipoprotein
HIKGEFOG_00066	gene	228				
HIKGEFOG_00066	CDS	228				hypothetical protein
HIKGEFOG_00067	gene	981	glkA			
HIKGEFOG_00067	CDS	981	glkA	2.7.1.2		Glucokinase
HIKGEFOG_00068	gene	690				
HIKGEFOG_00068	CDS	690				hypothetical protein
HIKGEFOG_00069	gene	579				
HIKGEFOG_00069	CDS	579				hypothetical protein
HIKGEFOG_00070	gene	858	rmlD			
HIKGEFOG_00070	CDS	858	rmlD	1.1.1.133		dTDP-4-dehydrorhamnose reductase
HIKGEFOG_00071	gene	1593	prfC			
HIKGEFOG_00071	CDS	1593	prfC		COG4108	Peptide chain release factor 3
HIKGEFOG_00072	gene	1038				
HIKGEFOG_00072	CDS	1038				hypothetical protein
HIKGEFOG_00073	gene	1932				
HIKGEFOG_00073	CDS	1932				hypothetical protein
HIKGEFOG_00074	gene	1257				
HIKGEFOG_00074	CDS	1257				hypothetical protein
HIKGEFOG_00075	gene	888				
HIKGEFOG_00075	CDS	888				hypothetical protein
HIKGEFOG_00076	gene	1476	rbbA			
HIKGEFOG_00076	CDS	1476	rbbA		COG0842	Ribosome-associated ATPase
HIKGEFOG_00077	gene	1065	ybhS			
HIKGEFOG_00077	CDS	1065	ybhS		COG0842	putative multidrug ABC transporter permease YbhS
HIKGEFOG_00078	gene	1098	ybhR			
HIKGEFOG_00078	CDS	1098	ybhR		COG0842	putative multidrug ABC transporter permease YbhR
HIKGEFOG_00079	gene	1404				
HIKGEFOG_00079	CDS	1404				hypothetical protein
HIKGEFOG_00080	gene	2640	rep_1			
HIKGEFOG_00080	CDS	2640	rep_1	3.6.4.12		ATP-dependent DNA helicase Rep
HIKGEFOG_00081	gene	1251	tdcG			
HIKGEFOG_00081	CDS	1251	tdcG	4.3.1.17	COG1760	L-serine dehydratase TdcG
HIKGEFOG_00082	gene	405				
HIKGEFOG_00082	CDS	405				hypothetical protein
HIKGEFOG_00083	gene	822	cmk_1			
HIKGEFOG_00083	CDS	822	cmk_1	2.7.4.25		Cytidylate kinase
HIKGEFOG_00084	gene	1374	yeeO			
HIKGEFOG_00084	CDS	1374	yeeO		COG0534	putative FMN/FAD exporter YeeO
HIKGEFOG_00085	gene	123				
HIKGEFOG_00085	CDS	123				hypothetical protein
HIKGEFOG_00086	gene	339				
HIKGEFOG_00086	CDS	339				hypothetical protein
HIKGEFOG_00087	gene	582				
HIKGEFOG_00087	CDS	582				hypothetical protein
HIKGEFOG_00088	gene	1542	glyQS			
HIKGEFOG_00088	CDS	1542	glyQS	6.1.1.14		Glycine--tRNA ligase
HIKGEFOG_00089	gene	105				
HIKGEFOG_00089	CDS	105				hypothetical protein
HIKGEFOG_00090	gene	117				
HIKGEFOG_00090	CDS	117				hypothetical protein
HIKGEFOG_00091	gene	2493				
HIKGEFOG_00091	CDS	2493				hypothetical protein
HIKGEFOG_00092	gene	1560				
HIKGEFOG_00092	CDS	1560				hypothetical protein
HIKGEFOG_00093	gene	102				
HIKGEFOG_00093	CDS	102				hypothetical protein
HIKGEFOG_00094	gene	1563				
HIKGEFOG_00094	CDS	1563				hypothetical protein
HIKGEFOG_00095	gene	1377	fucP			
HIKGEFOG_00095	CDS	1377	fucP		COG0738	L-fucose-proton symporter
HIKGEFOG_00096	gene	1092	mro			
HIKGEFOG_00096	CDS	1092	mro	5.1.3.3	COG2017	Aldose 1-epimerase
HIKGEFOG_00097	gene	744				
HIKGEFOG_00097	CDS	744				hypothetical protein
HIKGEFOG_00098	gene	1236	fpgS			
HIKGEFOG_00098	CDS	1236	fpgS	6.3.2.17		Folylpolyglutamate synthase
HIKGEFOG_00099	gene	1173	dnaJ			
HIKGEFOG_00099	CDS	1173	dnaJ		COG0484	Chaperone protein DnaJ
HIKGEFOG_00100	gene	609	grpE			
HIKGEFOG_00100	CDS	609	grpE			Protein GrpE
HIKGEFOG_00101	gene	1611	ybiT			
HIKGEFOG_00101	CDS	1611	ybiT		COG0488	putative ABC transporter ATP-binding protein YbiT
HIKGEFOG_00102	gene	732				
HIKGEFOG_00102	CDS	732				hypothetical protein
HIKGEFOG_00103	gene	1035				
HIKGEFOG_00103	CDS	1035				hypothetical protein
HIKGEFOG_00104	gene	924				
HIKGEFOG_00104	CDS	924				hypothetical protein
HIKGEFOG_00105	gene	618				
HIKGEFOG_00105	CDS	618				hypothetical protein
HIKGEFOG_00106	gene	1356				
HIKGEFOG_00106	CDS	1356				hypothetical protein
HIKGEFOG_00107	gene	972	ravA			
HIKGEFOG_00107	CDS	972	ravA	3.6.3.-		ATPase RavA
HIKGEFOG_00108	gene	1314				
HIKGEFOG_00108	CDS	1314				hypothetical protein
HIKGEFOG_00109	gene	642	gph_1			
HIKGEFOG_00109	CDS	642	gph_1	3.1.3.18	COG0546	Phosphoglycolate phosphatase
HIKGEFOG_00110	gene	1326				
HIKGEFOG_00110	CDS	1326				hypothetical protein
HIKGEFOG_00111	gene	606	ribE			
HIKGEFOG_00111	CDS	606	ribE	2.5.1.9	COG0307	Riboflavin synthase
HIKGEFOG_00112	gene	1272	apgM			
HIKGEFOG_00112	CDS	1272	apgM			2,3-bisphosphoglycerate-independent phosphoglycerate mutase
HIKGEFOG_00113	gene	636				
HIKGEFOG_00113	CDS	636				hypothetical protein
