locus_tag	ftype	length_bp	gene	EC_number	COG	product
JBBFHAFD_00001	gene	948				
JBBFHAFD_00001	CDS	948				hypothetical protein
JBBFHAFD_00002	gene	573				
JBBFHAFD_00002	CDS	573				hypothetical protein
JBBFHAFD_00003	gene	1164	sasA_1			
JBBFHAFD_00003	CDS	1164	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
JBBFHAFD_00004	gene	360				
JBBFHAFD_00004	CDS	360				hypothetical protein
JBBFHAFD_00005	gene	1440				
JBBFHAFD_00005	CDS	1440				hypothetical protein
JBBFHAFD_00006	gene	522				
JBBFHAFD_00006	CDS	522				hypothetical protein
JBBFHAFD_00007	gene	189	rpmF			
JBBFHAFD_00007	CDS	189	rpmF			50S ribosomal protein L32
JBBFHAFD_00008	gene	1011	fabH			
JBBFHAFD_00008	CDS	1011	fabH	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
JBBFHAFD_00009	gene	1035	era			
JBBFHAFD_00009	CDS	1035	era		COG1159	GTPase Era
JBBFHAFD_00010	gene	1317	der			
JBBFHAFD_00010	CDS	1317	der		COG1160	GTPase Der
JBBFHAFD_00011	gene	399				
JBBFHAFD_00011	CDS	399				hypothetical protein
JBBFHAFD_00012	gene	777	mkl			
JBBFHAFD_00012	CDS	777	mkl		COG1127	putative ribonucleotide transport ATP-binding protein mkl
JBBFHAFD_00013	gene	747	mlaE			
JBBFHAFD_00013	CDS	747	mlaE		COG0767	Intermembrane phospholipid transport system permease protein MlaE
JBBFHAFD_00014	gene	564				
JBBFHAFD_00014	CDS	564				hypothetical protein
JBBFHAFD_00015	gene	888	lptB_1			
JBBFHAFD_00015	CDS	888	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
JBBFHAFD_00016	gene	609				
JBBFHAFD_00016	CDS	609				hypothetical protein
JBBFHAFD_00017	gene	939	prs			
JBBFHAFD_00017	CDS	939	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
JBBFHAFD_00018	gene	582	resA_1			
JBBFHAFD_00018	CDS	582	resA_1			Thiol-disulfide oxidoreductase ResA
JBBFHAFD_00019	gene	3099				
JBBFHAFD_00019	CDS	3099				hypothetical protein
JBBFHAFD_00020	gene	1356	tig			
JBBFHAFD_00020	CDS	1356	tig	5.2.1.8		Trigger factor
JBBFHAFD_00021	gene	666	clpP			
JBBFHAFD_00021	CDS	666	clpP	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
JBBFHAFD_00022	gene	1230	clpX_1			
JBBFHAFD_00022	CDS	1230	clpX_1		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
JBBFHAFD_00023	gene	2181	recQ			
JBBFHAFD_00023	CDS	2181	recQ	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
JBBFHAFD_00024	gene	1257				
JBBFHAFD_00024	CDS	1257				hypothetical protein
JBBFHAFD_00025	gene	2601	clpB1			
JBBFHAFD_00025	CDS	2601	clpB1		COG0542	Chaperone protein ClpB 1
JBBFHAFD_00026	gene	201				
JBBFHAFD_00026	CDS	201				hypothetical protein
JBBFHAFD_00027	gene	744				
JBBFHAFD_00027	CDS	744				hypothetical protein
JBBFHAFD_00028	gene	768				
JBBFHAFD_00028	CDS	768				hypothetical protein
JBBFHAFD_00029	gene	2106	f1pep1			
JBBFHAFD_00029	CDS	2106	f1pep1	3.4.21.26		Prolyl endopeptidase
JBBFHAFD_00030	gene	2028				
JBBFHAFD_00030	CDS	2028				hypothetical protein
JBBFHAFD_00031	gene	453	bcp			
JBBFHAFD_00031	CDS	453	bcp	1.11.1.15	COG1225	Peroxiredoxin Bcp
JBBFHAFD_00032	gene	5553				
JBBFHAFD_00032	CDS	5553				hypothetical protein
JBBFHAFD_00033	gene	1065				
JBBFHAFD_00033	CDS	1065				hypothetical protein
JBBFHAFD_00034	gene	1107				
JBBFHAFD_00034	CDS	1107		3.6.-.-	COG1703	putative GTPase
JBBFHAFD_00035	gene	861	ispH			
JBBFHAFD_00035	CDS	861	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
JBBFHAFD_00036	gene	83				
JBBFHAFD_00036	tRNA	83				tRNA-Leu(tag)
JBBFHAFD_00037	gene	828	btuD_1			
JBBFHAFD_00037	CDS	828	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
JBBFHAFD_00038	gene	1005				
JBBFHAFD_00038	CDS	1005				hypothetical protein
JBBFHAFD_00039	gene	861				
JBBFHAFD_00039	CDS	861				hypothetical protein
JBBFHAFD_00040	gene	2682	parC			
JBBFHAFD_00040	CDS	2682	parC	5.6.2.2		DNA topoisomerase 4 subunit A
JBBFHAFD_00041	gene	951				
JBBFHAFD_00041	CDS	951				hypothetical protein
JBBFHAFD_00042	gene	720				
JBBFHAFD_00042	CDS	720				hypothetical protein
JBBFHAFD_00043	gene	975				
JBBFHAFD_00043	CDS	975		2.5.1.10	COG0142	(2E,6E)-farnesyl diphosphate synthase
JBBFHAFD_00044	gene	699				
JBBFHAFD_00044	CDS	699				hypothetical protein
JBBFHAFD_00045	gene	882	dtd3			
JBBFHAFD_00045	CDS	882	dtd3	3.1.1.96		D-aminoacyl-tRNA deacylase
JBBFHAFD_00046	gene	89				
JBBFHAFD_00046	tRNA	89				tRNA-Ser(gga)
JBBFHAFD_00047	gene	441				
JBBFHAFD_00047	CDS	441				hypothetical protein
JBBFHAFD_00048	gene	450				
JBBFHAFD_00048	CDS	450				hypothetical protein
JBBFHAFD_00049	gene	1452				
JBBFHAFD_00049	CDS	1452				hypothetical protein
JBBFHAFD_00050	gene	147				
JBBFHAFD_00050	CDS	147				hypothetical protein
JBBFHAFD_00051	gene	450				
JBBFHAFD_00051	CDS	450				hypothetical protein
JBBFHAFD_00052	gene	1122				
JBBFHAFD_00052	CDS	1122				hypothetical protein
JBBFHAFD_00053	gene	879	yhdJ_1			
JBBFHAFD_00053	CDS	879	yhdJ_1	2.1.1.72	COG0863	DNA adenine methyltransferase YhdJ
JBBFHAFD_00054	gene	555	resA_2			
JBBFHAFD_00054	CDS	555	resA_2			Thiol-disulfide oxidoreductase ResA
JBBFHAFD_00055	gene	534	maa			
JBBFHAFD_00055	CDS	534	maa	2.3.1.79	COG0110	Maltose O-acetyltransferase
JBBFHAFD_00056	gene	483				
JBBFHAFD_00056	CDS	483				hypothetical protein
JBBFHAFD_00057	gene	498				
JBBFHAFD_00057	CDS	498				hypothetical protein
JBBFHAFD_00058	gene	477				
JBBFHAFD_00058	CDS	477				hypothetical protein
JBBFHAFD_00059	gene	807	tolQ_1			
JBBFHAFD_00059	CDS	807	tolQ_1			Tol-Pal system protein TolQ
JBBFHAFD_00060	gene	486	asnC_1			
JBBFHAFD_00060	CDS	486	asnC_1		COG1522	Regulatory protein AsnC
JBBFHAFD_00061	gene	135				
JBBFHAFD_00061	CDS	135				hypothetical protein
JBBFHAFD_00062	gene	486				
JBBFHAFD_00062	CDS	486				IS1595 family transposase ISSsu9
JBBFHAFD_00063	gene	795	thyA			
JBBFHAFD_00063	CDS	795	thyA	2.1.1.45	COG0207	Thymidylate synthase
JBBFHAFD_00064	gene	1410	rsmF			
JBBFHAFD_00064	CDS	1410	rsmF	2.1.1.178	COG0144	Ribosomal RNA small subunit methyltransferase F
JBBFHAFD_00065	gene	777				
JBBFHAFD_00065	CDS	777				hypothetical protein
JBBFHAFD_00066	gene	186				
JBBFHAFD_00066	CDS	186				hypothetical protein
JBBFHAFD_00067	gene	543	algU			
JBBFHAFD_00067	CDS	543	algU		COG1595	RNA polymerase sigma-H factor
JBBFHAFD_00068	gene	360				
JBBFHAFD_00068	CDS	360				hypothetical protein
JBBFHAFD_00069	gene	2067	pal_1			
JBBFHAFD_00069	CDS	2067	pal_1			Peptidoglycan-associated lipoprotein
JBBFHAFD_00070	gene	114				
JBBFHAFD_00070	CDS	114				hypothetical protein
JBBFHAFD_00071	gene	519				
JBBFHAFD_00071	CDS	519				hypothetical protein
JBBFHAFD_00072	gene	981	glkA			
JBBFHAFD_00072	CDS	981	glkA	2.7.1.2		Glucokinase
JBBFHAFD_00073	gene	690				
JBBFHAFD_00073	CDS	690				hypothetical protein
JBBFHAFD_00074	gene	579				
JBBFHAFD_00074	CDS	579				hypothetical protein
JBBFHAFD_00075	gene	858	rmlD			
JBBFHAFD_00075	CDS	858	rmlD	1.1.1.133		dTDP-4-dehydrorhamnose reductase
JBBFHAFD_00076	gene	1593	prfC			
JBBFHAFD_00076	CDS	1593	prfC		COG4108	Peptide chain release factor 3
JBBFHAFD_00077	gene	1038				
JBBFHAFD_00077	CDS	1038				hypothetical protein
JBBFHAFD_00078	gene	1932				
JBBFHAFD_00078	CDS	1932				hypothetical protein
JBBFHAFD_00079	gene	1296				
JBBFHAFD_00079	CDS	1296				hypothetical protein
JBBFHAFD_00080	gene	888				
JBBFHAFD_00080	CDS	888				hypothetical protein
JBBFHAFD_00081	gene	1476	rbbA			
JBBFHAFD_00081	CDS	1476	rbbA		COG0842	Ribosome-associated ATPase
JBBFHAFD_00082	gene	1065	ybhS			
JBBFHAFD_00082	CDS	1065	ybhS		COG0842	putative multidrug ABC transporter permease YbhS
JBBFHAFD_00083	gene	1098	ybhR			
JBBFHAFD_00083	CDS	1098	ybhR		COG0842	putative multidrug ABC transporter permease YbhR
JBBFHAFD_00084	gene	1410				
JBBFHAFD_00084	CDS	1410				hypothetical protein
JBBFHAFD_00085	gene	2640	rep_1			
JBBFHAFD_00085	CDS	2640	rep_1	3.6.4.12		ATP-dependent DNA helicase Rep
JBBFHAFD_00086	gene	1251	tdcG			
JBBFHAFD_00086	CDS	1251	tdcG	4.3.1.17	COG1760	L-serine dehydratase TdcG
JBBFHAFD_00087	gene	405				
JBBFHAFD_00087	CDS	405				hypothetical protein
JBBFHAFD_00088	gene	666				
JBBFHAFD_00088	CDS	666				hypothetical protein
JBBFHAFD_00089	gene	1047				
JBBFHAFD_00089	CDS	1047				hypothetical protein
JBBFHAFD_00090	gene	1404				
JBBFHAFD_00090	CDS	1404				hypothetical protein
JBBFHAFD_00091	gene	822				
JBBFHAFD_00091	CDS	822				hypothetical protein
JBBFHAFD_00092	gene	459				
JBBFHAFD_00092	CDS	459				hypothetical protein
JBBFHAFD_00093	gene	324				
JBBFHAFD_00093	CDS	324				hypothetical protein
JBBFHAFD_00094	gene	720				
JBBFHAFD_00094	CDS	720				hypothetical protein
JBBFHAFD_00095	gene	4245	ruvB_1			
JBBFHAFD_00095	CDS	4245	ruvB_1	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvB
JBBFHAFD_00096	gene	798				
JBBFHAFD_00096	CDS	798				hypothetical protein
JBBFHAFD_00097	gene	1725				
JBBFHAFD_00097	CDS	1725				hypothetical protein
JBBFHAFD_00098	gene	618	cutD			
JBBFHAFD_00098	CDS	618	cutD	1.97.1.-		Choline trimethylamine-lyase activating enzyme
