locus_tag	ftype	length_bp	gene	EC_number	COG	product
GPNBPIIH_00001	gene	972	nusA			
GPNBPIIH_00001	CDS	972	nusA		COG0195	Transcription termination/antitermination protein NusA
GPNBPIIH_00002	gene	2868	infB			
GPNBPIIH_00002	CDS	2868	infB			Translation initiation factor IF-2
GPNBPIIH_00003	gene	147				
GPNBPIIH_00003	CDS	147				hypothetical protein
GPNBPIIH_00004	gene	1458	sufB			
GPNBPIIH_00004	CDS	1458	sufB		COG0719	FeS cluster assembly protein SufB
GPNBPIIH_00005	gene	366				
GPNBPIIH_00005	CDS	366				hypothetical protein
GPNBPIIH_00006	gene	756	sufC			
GPNBPIIH_00006	CDS	756	sufC		COG0396	putative ATP-dependent transporter SufC
GPNBPIIH_00007	gene	1365	sufD			
GPNBPIIH_00007	CDS	1365	sufD		COG0719	FeS cluster assembly protein SufD
GPNBPIIH_00008	gene	1584				
GPNBPIIH_00008	CDS	1584				hypothetical protein
GPNBPIIH_00009	gene	219				
GPNBPIIH_00009	CDS	219				hypothetical protein
GPNBPIIH_00010	gene	219				
GPNBPIIH_00010	CDS	219				hypothetical protein
GPNBPIIH_00011	gene	504				
GPNBPIIH_00011	CDS	504				hypothetical protein
GPNBPIIH_00012	gene	453	yvbK			
GPNBPIIH_00012	CDS	453	yvbK	2.3.1.-		putative N-acetyltransferase YvbK
GPNBPIIH_00013	gene	360				
GPNBPIIH_00013	CDS	360				hypothetical protein
GPNBPIIH_00014	gene	201				
GPNBPIIH_00014	CDS	201				hypothetical protein
GPNBPIIH_00015	gene	5739				
GPNBPIIH_00015	CDS	5739				hypothetical protein
GPNBPIIH_00016	gene	1353	sufS			
GPNBPIIH_00016	CDS	1353	sufS	2.8.1.7	COG0520	Cysteine desulfurase SufS
GPNBPIIH_00017	gene	471				
GPNBPIIH_00017	CDS	471				hypothetical protein
GPNBPIIH_00018	gene	513	sigE_1			
GPNBPIIH_00018	CDS	513	sigE_1		COG1595	ECF RNA polymerase sigma factor SigE
GPNBPIIH_00019	gene	549				
GPNBPIIH_00019	CDS	549				hypothetical protein
GPNBPIIH_00020	gene	450				
GPNBPIIH_00020	CDS	450				hypothetical protein
GPNBPIIH_00021	gene	73				
GPNBPIIH_00021	tRNA	73				tRNA-Arg(cct)
GPNBPIIH_00022	gene	2112	metG			
