locus_tag	ftype	length_bp	gene	EC_number	COG	product
MMNBLMCD_00001	gene	687	aroB			
MMNBLMCD_00001	CDS	687	aroB	4.2.3.4		3-dehydroquinate synthase
MMNBLMCD_00002	gene	222				
MMNBLMCD_00002	CDS	222				hypothetical protein
MMNBLMCD_00003	gene	2313				
MMNBLMCD_00003	CDS	2313				hypothetical protein
MMNBLMCD_00004	gene	522				
MMNBLMCD_00004	CDS	522				hypothetical protein
MMNBLMCD_00005	gene	852				
MMNBLMCD_00005	CDS	852				hypothetical protein
MMNBLMCD_00006	gene	1971	ftsH_1			
MMNBLMCD_00006	CDS	1971	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
MMNBLMCD_00007	gene	360	rsfS			
MMNBLMCD_00007	CDS	360	rsfS			Ribosomal silencing factor RsfS
MMNBLMCD_00008	gene	72				
MMNBLMCD_00008	tRNA	72				tRNA-Gln(ctg)
MMNBLMCD_00009	gene	1854				
MMNBLMCD_00009	CDS	1854				hypothetical protein
MMNBLMCD_00010	gene	927				
MMNBLMCD_00010	CDS	927				hypothetical protein
MMNBLMCD_00011	gene	141				
MMNBLMCD_00011	CDS	141				hypothetical protein
MMNBLMCD_00012	gene	1461	pepD_1			
MMNBLMCD_00012	CDS	1461	pepD_1	3.4.13.18	COG2195	Cytosol non-specific dipeptidase
MMNBLMCD_00013	gene	963				
MMNBLMCD_00013	CDS	963				hypothetical protein
MMNBLMCD_00014	gene	1149	lpxB			
MMNBLMCD_00014	CDS	1149	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
MMNBLMCD_00015	gene	774	surE			
MMNBLMCD_00015	CDS	774	surE	3.1.3.5	COG0496	5'-nucleotidase SurE
MMNBLMCD_00016	gene	99				
MMNBLMCD_00016	CDS	99				hypothetical protein
MMNBLMCD_00017	gene	762	soj_1			
MMNBLMCD_00017	CDS	762	soj_1	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
MMNBLMCD_00018	gene	900	parB			
MMNBLMCD_00018	CDS	900	parB		COG1475	putative chromosome-partitioning protein ParB
MMNBLMCD_00019	gene	765				
MMNBLMCD_00019	CDS	765				hypothetical protein
MMNBLMCD_00020	gene	1536				
MMNBLMCD_00020	CDS	1536				hypothetical protein
MMNBLMCD_00021	gene	2286	relA_1			
MMNBLMCD_00021	CDS	2286	relA_1	2.7.6.5	COG0317	GTP pyrophosphokinase
MMNBLMCD_00022	gene	348				
MMNBLMCD_00022	CDS	348				hypothetical protein
MMNBLMCD_00023	gene	1002	alaS_1			
MMNBLMCD_00023	CDS	1002	alaS_1	6.1.1.7	COG0013	Alanine--tRNA ligase
MMNBLMCD_00024	gene	1806	alaS_2			
MMNBLMCD_00024	CDS	1806	alaS_2	6.1.1.7	COG0013	Alanine--tRNA ligase
MMNBLMCD_00025	gene	1023	recA			
MMNBLMCD_00025	CDS	1023	recA			Protein RecA
MMNBLMCD_00026	gene	1305				
MMNBLMCD_00026	CDS	1305		1.5.1.43		Carboxynorspermidine synthase
MMNBLMCD_00027	gene	597				
MMNBLMCD_00027	CDS	597				hypothetical protein
MMNBLMCD_00028	gene	849				
MMNBLMCD_00028	CDS	849				hypothetical protein
MMNBLMCD_00029	gene	1347	nhaD			
MMNBLMCD_00029	CDS	1347	nhaD		COG1055	Na(+)/H(+) antiporter NhaD
MMNBLMCD_00030	gene	912				
MMNBLMCD_00030	CDS	912				hypothetical protein
MMNBLMCD_00031	gene	558	rsmD			
MMNBLMCD_00031	CDS	558	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
MMNBLMCD_00032	gene	861				
MMNBLMCD_00032	CDS	861				hypothetical protein
MMNBLMCD_00033	gene	492				
MMNBLMCD_00033	CDS	492				hypothetical protein
MMNBLMCD_00034	gene	1440	recD2_1			
MMNBLMCD_00034	CDS	1440	recD2_1	3.6.4.12		ATP-dependent RecD-like DNA helicase
MMNBLMCD_00035	gene	579				
MMNBLMCD_00035	CDS	579				hypothetical protein
MMNBLMCD_00036	gene	1038	nrnA			
MMNBLMCD_00036	CDS	1038	nrnA	3.1.-.-	COG0618	Bifunctional oligoribonuclease and PAP phosphatase NrnA
MMNBLMCD_00037	gene	1938	dnaG			
MMNBLMCD_00037	CDS	1938	dnaG	2.7.7.-		DNA primase
MMNBLMCD_00038	gene	330				
MMNBLMCD_00038	CDS	330				hypothetical protein
MMNBLMCD_00039	gene	660	queE			
MMNBLMCD_00039	CDS	660	queE	4.3.99.3		7-carboxy-7-deazaguanine synthase
MMNBLMCD_00040	gene	1410	clsA			
MMNBLMCD_00040	CDS	1410	clsA	2.7.8.-	COG1502	Major cardiolipin synthase ClsA
MMNBLMCD_00041	gene	2373	bamA_1			
